N,P,K,temperature,humidity,ph,rainfall,label
18.3,67.4,22.8,23.8,55.9,6.45,31.4,lentil
83.5,13.0,9.4,23.5,70.5,5.41,133.9,maize
102.3,66.2,35.1,27.7,79.9,5.93,106.1,banana
29.5,121.0,205.0,27.0,76.9,6.22,86.7,grapes
72.8,52.5,41.5,26.2,73.1,6.3,196.4,jute
93.3,24.4,20.9,21.7,66.8,6.97,61.6,maize
17.4,17.0,11.1,21.8,95.0,7.61,91.4,orange
78.6,32.1,33.2,24.9,51.4,6.8,220.8,coffee
114.2,77.7,62.7,26.4,72.6,5.68,97.2,banana
18.4,24.0,12.5,20.8,90.5,6.8,111.6,orange
20.4,43.4,22.1,30.9,50.2,6.46,106.4,mango
16.3,109.3,200.2,26.4,80.4,5.76,69.4,grapes
95.2,99.4,47.9,24.4,75.7,5.7,93.1,banana
22.1,74.1,21.2,24.6,66.4,6.9,34.5,lentil
8.0,134.1,190.6,25.2,70.6,6.23,41.3,grapes
5.5,67.3,18.3,18.4,72.7,6.41,39.0,lentil
87.2,38.2,58.5,23.5,76.7,7.0,177.4,jute
43.9,56.7,80.5,24.7,14.0,6.88,80.6,chickpea
14.1,127.5,185.4,25.5,84.6,5.59,55.4,grapes
75.6,43.3,32.5,28.2,95.7,6.57,211.4,jute
96.3,80.1,72.9,30.0,78.7,5.85,94.9,banana
115.9,30.0,18.4,26.0,65.3,6.06,117.0,maize
108.7,12.7,49.7,24.0,84.5,6.54,37.2,watermelon
127.7,38.9,18.4,21.8,65.6,6.55,73.9,cotton
98.5,54.2,16.1,27.2,71.5,6.14,30.2,cotton
99.4,33.2,18.4,25.2,51.6,7.59,148.1,coffee
69.4,27.9,37.3,24.9,91.0,6.39,179.6,rice
33.3,25.2,31.0,31.8,42.1,5.68,94.4,mango
16.8,17.4,17.0,20.1,92.2,6.29,112.9,orange
116.9,17.4,25.4,24.1,63.6,6.87,163.5,coffee
112.8,25.5,3.0,24.8,84.3,6.65,45.5,cotton
76.5,51.8,22.4,27.7,80.6,5.99,286.3,rice
111.2,50.5,18.6,28.7,68.8,7.28,68.0,cotton
87.2,47.3,26.1,23.8,70.7,6.42,152.9,jute
14.5,134.9,184.5,27.9,72.6,5.94,46.4,grapes
80.8,48.5,20.1,22.5,70.1,6.03,78.0,maize
26.4,35.1,75.8,20.4,19.0,7.12,92.2,chickpea
69.8,54.5,48.3,24.8,80.9,6.62,221.0,rice
33.3,44.5,88.3,19.4,21.4,6.41,62.4,chickpea
22.8,65.4,25.2,22.0,71.8,6.21,55.7,lentil
89.6,18.1,48.1,26.2,81.5,6.4,51.4,watermelon
104.9,37.1,17.1,19.2,52.0,6.61,106.3,maize
23.3,62.0,88.8,19.2,14.0,6.76,44.2,chickpea
123.0,29.1,24.0,25.8,86.3,7.11,99.9,cotton
95.1,51.4,21.6,24.6,63.6,6.44,103.8,maize
105.2,36.2,29.8,23.5,57.4,6.97,95.7,cotton
79.9,40.0,36.1,22.9,79.2,6.54,133.9,jute
98.2,27.9,37.7,27.7,56.2,6.59,161.4,coffee
99.2,9.7,39.7,25.0,94.8,6.15,45.0,watermelon
78.4,35.7,15.2,22.6,65.7,6.55,83.4,maize
47.3,70.8,89.0,18.3,14.0,7.46,65.2,chickpea
82.7,44.2,35.3,27.7,84.0,6.6,194.9,jute
73.7,24.6,45.0,25.2,88.3,6.89,46.3,watermelon
104.1,19.4,26.1,23.1,60.2,5.84,164.3,coffee
20.8,24.8,15.5,32.9,49.7,6.35,75.9,mango
86.3,18.1,69.5,24.9,85.4,6.73,48.9,watermelon
72.3,46.3,34.2,27.7,92.1,6.54,257.1,rice
15.3,89.6,10.6,17.1,73.8,7.31,27.8,lentil
27.7,28.2,25.9,33.8,42.0,6.38,73.7,mango
57.8,50.4,81.8,15.1,15.4,6.81,74.6,chickpea
22.8,145.0,189.6,24.0,94.7,6.24,84.5,grapes
106.1,33.7,27.6,26.8,43.9,6.56,174.9,coffee
26.3,57.5,23.9,18.3,72.3,6.86,53.5,lentil
83.6,54.0,29.6,25.8,81.2,6.43,247.6,rice
110.9,31.0,12.6,19.7,71.6,7.2,81.8,maize
16.4,43.9,20.5,18.3,73.8,6.29,44.6,lentil
20.1,73.6,16.4,22.4,61.2,6.96,52.0,lentil
101.1,17.2,46.3,27.3,85.1,6.99,63.1,watermelon
26.0,31.7,32.6,28.8,42.6,5.54,107.7,mango
98.6,87.6,32.8,26.9,75.2,7.2,112.0,banana
97.2,31.3,42.0,26.2,57.7,6.59,146.7,coffee
7.2,24.6,25.1,33.0,64.0,6.13,128.5,mango
93.9,44.3,13.4,24.0,78.4,5.92,191.7,jute
78.7,80.7,55.7,26.0,73.9,5.8,129.7,banana
14.8,36.5,24.8,34.2,37.8,5.95,112.8,mango
43.7,77.0,71.3,18.8,20.4,7.26,60.9,chickpea
43.9,44.8,63.4,21.5,14.0,7.05,65.4,chickpea
93.5,43.4,26.0,20.0,52.0,6.54,73.6,maize
103.1,19.4,54.8,25.4,81.8,5.64,47.9,watermelon
30.7,62.2,90.6,23.8,15.8,6.65,81.0,chickpea
96.8,79.2,40.9,30.0,70.8,6.03,127.4,banana
16.4,144.8,205.0,22.8,76.8,6.38,53.3,grapes
110.5,43.3,30.7,21.4,74.1,5.78,128.0,maize
18.4,58.5,18.8,22.4,52.7,6.91,35.1,lentil
77.9,19.8,45.6,25.4,78.0,6.36,64.4,watermelon
90.9,29.5,49.0,21.0,86.9,6.02,189.8,jute
17.3,115.5,198.1,23.4,72.2,5.76,73.3,grapes
130.2,51.6,24.3,28.3,62.1,6.76,100.5,cotton
99.7,29.4,25.3,24.6,67.8,7.3,198.7,coffee
37.8,50.2,99.1,18.7,19.7,6.63,20.0,chickpea
28.8,56.1,26.6,17.8,58.0,7.21,38.2,lentil
5.9,26.5,35.3,34.3,58.9,6.09,98.0,mango
102.8,78.5,71.1,28.8,75.2,5.65,60.7,banana
97.6,20.3,56.0,27.3,76.8,6.59,51.1,watermelon
114.8,42.3,12.7,25.1,65.2,7.5,108.7,cotton
111.6,83.4,45.4,29.2,90.0,5.57,96.8,banana
98.3,22.3,32.4,27.6,62.6,7.54,155.4,coffee
22.0,131.3,205.0,20.5,70.5,6.32,64.3,grapes
19.4,17.7,29.8,29.5,51.4,5.94,83.2,mango
102.0,24.3,46.5,26.7,77.4,6.68,30.0,watermelon
88.3,18.0,32.1,23.6,62.7,6.61,192.6,coffee
106.0,19.0,43.0,26.1,82.0,6.61,52.8,watermelon
83.6,42.9,34.0,21.5,83.2,6.06,213.3,rice
80.2,43.2,10.5,26.0,59.5,6.61,112.4,maize
79.4,61.5,41.3,27.0,86.2,6.89,216.3,jute
42.8,55.9,82.2,19.6,26.2,6.71,75.4,chickpea
6.1,66.0,26.4,19.8,76.1,7.52,39.1,lentil
109.4,32.9,37.6,24.6,42.8,6.15,159.1,coffee
35.1,40.3,58.5,17.9,16.9,6.46,108.6,chickpea
22.7,27.4,34.3,32.7,57.8,6.76,109.1,mango
25.6,40.7,26.6,22.0,68.7,6.91,50.0,lentil
99.5,25.9,38.2,22.3,66.0,7.47,167.7,coffee
89.8,95.6,40.9,30.0,72.6,5.7,64.1,banana
74.0,44.2,45.2,26.9,71.9,6.78,155.8,jute
101.7,34.2,37.7,23.7,53.0,6.4,201.8,coffee
23.5,59.7,28.6,16.5,59.6,7.49,48.3,lentil
69.3,54.8,41.5,24.2,78.3,6.95,184.0,jute
50.1,41.3,80.0,17.4,16.2,6.91,79.6,chickpea
79.5,32.5,23.1,23.2,54.6,6.1,57.6,maize
42.6,64.3,70.4,23.1,14.0,7.04,44.6,chickpea
72.6,21.7,16.1,24.7,51.1,6.39,86.2,maize
19.1,38.5,36.5,34.8,43.5,6.06,89.0,mango
101.9,28.7,39.9,20.2,78.3,6.76,198.1,jute
25.1,145.0,205.0,21.2,78.7,5.82,49.9,grapes
21.7,20.7,33.0,32.5,52.3,6.02,102.2,mango
73.8,47.4,21.7,24.7,51.2,6.24,69.9,maize
130.5,51.8,28.3,26.6,64.3,7.23,74.2,cotton
58.8,49.0,29.4,26.7,79.3,6.95,173.3,rice
92.0,30.7,47.6,28.8,83.7,6.86,192.9,rice
99.6,57.9,22.9,23.9,74.3,6.3,77.5,cotton
84.1,62.7,34.9,24.4,78.8,6.99,227.0,rice
109.0,80.4,64.5,27.1,73.8,6.04,88.3,banana
92.2,35.9,29.3,25.5,86.8,6.28,159.1,jute
14.9,64.8,17.6,19.9,73.1,6.59,32.6,lentil
136.2,49.2,7.7,29.0,64.1,5.95,87.3,cotton
87.0,34.9,32.4,25.4,88.0,7.05,221.9,rice
22.1,72.0,71.4,18.1,14.0,7.32,87.7,chickpea
91.9,24.9,34.8,24.3,59.0,6.85,197.5,coffee
81.6,45.1,16.4,20.2,71.7,5.77,88.2,maize
31.1,79.4,15.4,18.6,87.0,7.55,42.4,lentil
73.5,35.4,39.4,24.0,55.3,6.3,175.5,coffee
83.3,25.4,48.9,26.5,87.2,5.97,26.6,watermelon
110.8,47.3,22.3,28.5,75.1,6.37,87.1,cotton
75.5,55.8,41.1,24.7,80.0,6.66,152.8,jute
42.3,62.3,80.8,22.5,22.0,6.59,67.2,chickpea
95.9,41.1,32.6,25.4,41.8,6.83,173.9,coffee
22.3,12.5,11.3,25.3,90.1,6.48,138.3,orange
23.6,19.1,32.2,29.8,48.0,6.47,92.7,mango
37.6,64.5,81.9,21.7,17.3,7.04,94.1,chickpea
75.8,33.0,39.6,27.7,79.0,6.64,199.0,jute
56.4,48.4,49.4,24.3,77.3,7.29,114.2,jute
94.9,40.2,19.2,21.9,62.8,7.07,135.2,maize
84.3,59.4,37.2,28.1,81.1,6.38,252.7,rice
92.7,38.2,19.1,20.2,48.3,6.53,101.4,maize
52.5,64.5,69.3,20.6,14.8,7.61,52.0,chickpea
98.8,45.1,53.7,24.1,78.3,5.89,210.5,rice
88.8,82.4,46.9,23.0,89.4,6.27,126.2,banana
73.6,35.8,46.9,25.0,86.6,6.67,172.0,jute
32.9,42.7,95.9,18.7,14.0,7.56,96.4,chickpea
32.4,49.6,74.1,13.5,14.0,6.97,94.8,chickpea
94.9,13.8,35.7,26.4,75.1,6.57,63.7,watermelon
47.0,59.1,89.1,23.5,20.3,7.47,70.1,chickpea
112.3,30.8,44.9,24.1,70.3,6.77,181.2,coffee
85.7,42.1,35.7,25.5,84.3,7.3,231.8,rice
116.2,38.3,20.4,28.9,81.2,6.95,74.5,cotton
9.9,10.3,7.8,23.1,93.8,7.51,123.5,orange
24.9,10.4,8.2,19.1,88.7,7.14,132.7,orange
109.9,40.7,21.6,24.5,65.9,6.09,91.1,maize
93.7,80.2,42.6,27.4,87.0,5.35,108.0,banana
99.8,16.7,18.2,22.7,61.1,6.45,165.8,coffee
68.9,24.6,65.5,24.0,90.6,6.66,33.2,watermelon
103.2,46.1,14.9,27.4,69.9,6.23,78.5,cotton
75.4,54.2,49.6,27.8,79.2,6.56,245.0,rice
68.9,56.2,32.8,29.5,85.8,6.75,207.1,jute
16.2,15.0,10.3,25.9,93.0,7.08,123.5,orange
96.2,31.0,25.1,28.6,63.7,6.91,188.4,coffee
21.1,12.9,6.7,25.7,89.4,6.44,106.5,orange
93.7,37.4,24.5,26.4,68.2,7.69,77.4,maize
9.2,64.1,16.9,25.1,55.0,7.16,37.6,lentil
95.6,19.5,51.0,28.8,85.5,6.3,45.1,watermelon
123.4,35.3,20.0,24.9,69.8,5.86,83.9,maize
12.8,120.7,160.2,23.3,81.3,6.19,67.5,grapes
67.8,36.3,47.3,27.6,89.7,6.71,139.3,jute
71.4,72.8,69.2,24.8,14.4,7.6,54.4,chickpea
87.3,13.4,61.8,26.1,81.0,6.44,32.3,watermelon
38.5,57.5,85.5,23.2,15.6,7.12,68.9,chickpea
19.5,145.0,205.0,26.6,79.5,5.7,78.3,grapes
14.9,127.7,205.0,26.3,76.4,6.42,75.1,grapes
24.5,57.3,22.7,20.1,68.6,7.14,42.4,lentil
78.8,33.9,34.7,25.1,58.7,6.2,130.1,coffee
22.9,24.4,32.3,31.2,49.3,5.8,88.4,mango
93.9,41.8,18.2,26.5,50.0,6.37,123.2,maize
52.5,55.1,38.7,23.8,85.2,6.33,159.5,jute
89.8,39.8,17.2,26.0,49.9,6.48,104.1,maize
125.5,55.5,21.5,29.4,80.3,6.94,107.0,cotton
43.3,44.9,86.7,19.5,22.0,7.05,55.2,chickpea
16.0,21.7,9.4,25.5,93.8,7.31,114.2,orange
89.2,18.7,48.9,27.6,86.8,6.21,41.1,watermelon
93.1,41.1,19.2,24.2,59.1,6.72,107.6,maize
24.7,19.6,8.5,27.6,88.6,7.72,90.2,orange
6.5,36.3,35.0,29.4,46.8,5.47,111.7,mango
13.6,62.1,15.3,22.2,53.4,6.98,47.9,lentil
31.1,62.8,22.8,17.4,62.4,6.67,45.3,lentil
70.3,66.3,32.4,21.9,85.4,6.55,196.4,rice
25.1,15.8,16.2,24.4,86.3,7.19,133.5,orange
19.0,20.2,12.1,23.1,92.8,6.91,99.8,orange
12.6,19.9,9.2,21.9,98.7,6.74,127.6,orange
79.1,43.0,31.7,29.2,92.8,7.17,234.2,rice
112.1,12.2,30.6,27.8,48.5,6.07,178.8,coffee
110.0,44.9,9.9,27.7,68.6,6.45,117.9,cotton
76.7,45.9,23.3,25.0,75.9,6.19,64.6,maize
102.8,60.7,34.6,20.7,82.6,6.4,184.4,jute
18.6,36.1,29.4,33.0,49.9,5.51,100.3,mango
29.4,5.9,12.4,21.0,88.0,6.86,134.2,orange
110.4,29.0,26.6,24.3,37.1,6.93,156.2,coffee
39.1,59.1,91.8,17.0,16.2,6.8,75.5,chickpea
103.6,61.6,43.4,29.4,91.3,6.4,122.9,banana
18.4,18.8,7.4,21.6,91.5,7.89,104.3,orange
20.7,61.0,27.2,22.9,57.8,6.72,61.8,lentil
111.9,44.4,7.9,22.2,75.1,6.36,74.5,cotton
91.8,48.8,29.7,21.7,69.1,5.64,85.0,maize
110.2,48.7,29.6,31.4,76.4,6.74,77.7,cotton
26.5,62.1,25.3,18.5,48.0,5.88,39.0,lentil
136.1,40.1,18.5,20.4,75.1,6.42,76.2,cotton
123.4,34.9,11.0,26.5,71.0,6.08,86.5,cotton
18.7,53.0,23.8,15.5,68.2,7.42,43.8,lentil
95.0,75.6,77.9,27.2,75.3,5.93,104.8,banana
11.1,9.8,10.4,20.3,92.5,6.52,110.4,orange
85.6,13.2,47.0,25.6,91.2,6.37,44.9,watermelon
69.1,40.1,51.8,26.2,82.4,6.27,194.9,rice
122.2,40.4,7.5,27.5,63.6,6.23,108.7,cotton
25.6,17.5,32.1,33.7,49.8,6.13,99.0,mango
75.9,56.5,37.1,23.7,84.3,6.91,175.9,jute
92.2,20.6,27.1,22.1,71.9,7.32,185.0,coffee
140.0,26.8,20.0,27.2,77.2,6.05,109.5,cotton
10.1,9.6,10.0,23.3,86.0,6.81,112.6,orange
81.0,47.0,45.8,22.2,79.4,5.78,289.6,rice
35.6,46.3,86.0,17.6,18.0,6.99,60.2,chickpea
23.5,23.4,23.4,33.4,42.4,5.49,108.6,mango
80.7,26.1,38.7,23.3,84.9,7.35,197.9,jute
23.6,123.0,197.8,22.7,77.9,6.19,58.3,grapes
88.9,39.8,35.8,26.5,47.8,6.38,221.2,coffee
77.1,46.0,21.3,23.4,81.8,6.64,206.7,rice
26.4,22.5,7.9,24.1,85.7,7.26,121.9,orange
110.6,53.5,18.5,23.0,61.1,7.31,85.1,cotton
19.8,28.7,19.1,33.7,51.4,5.91,81.4,mango
88.8,40.0,30.9,26.2,77.1,7.33,156.8,jute
92.6,51.5,14.1,20.3,60.0,5.54,126.4,maize
92.1,20.0,16.9,25.0,68.3,7.1,102.5,cotton
23.3,28.8,43.3,31.8,52.9,5.27,99.1,mango
18.6,122.9,198.7,21.0,62.6,5.67,49.9,grapes
84.9,51.1,22.2,27.4,64.0,5.89,115.6,maize
22.2,139.6,205.0,21.0,87.3,6.83,52.2,grapes
22.0,18.0,35.4,34.2,36.6,6.2,99.3,mango
79.0,33.5,29.8,26.7,51.0,6.15,174.4,coffee
21.3,137.5,192.8,23.7,84.4,6.24,79.8,grapes
70.6,43.7,44.3,22.0,72.7,6.94,189.1,jute
11.2,24.8,16.3,23.2,92.6,7.6,105.9,orange
104.8,33.2,23.0,26.2,55.6,6.84,204.1,coffee
97.7,32.4,21.1,23.9,60.6,6.06,151.3,coffee
88.2,75.5,67.4,27.7,80.0,5.61,86.9,banana
20.4,17.5,14.1,21.9,100.0,6.22,86.9,orange
61.6,41.2,18.8,23.3,53.1,6.63,77.1,maize
97.2,31.5,21.4,21.1,68.3,5.69,101.6,maize
26.1,16.2,16.1,21.0,97.4,6.71,102.6,orange
98.6,43.5,40.5,26.2,79.5,6.79,209.9,rice
81.3,55.9,53.7,23.7,89.3,6.57,216.1,rice
94.2,82.1,39.1,28.8,87.6,5.78,97.3,banana
11.9,14.2,24.8,27.8,47.5,6.32,94.9,mango
98.0,27.2,29.7,24.4,68.6,6.35,172.6,coffee
63.1,38.5,34.3,22.9,82.9,7.18,163.7,jute
90.0,12.8,19.4,27.5,54.2,6.12,204.1,coffee
82.6,31.8,44.8,25.7,80.8,6.16,280.4,rice
103.9,37.4,19.9,28.4,73.4,5.24,105.3,maize
109.7,55.2,24.4,26.4,67.4,7.58,72.1,cotton
21.4,136.5,200.1,23.4,72.8,5.85,102.6,grapes
27.4,35.1,27.1,28.9,47.4,5.51,113.7,mango
89.5,11.3,55.3,24.3,82.4,6.47,45.2,watermelon
74.7,69.4,43.7,28.8,80.9,6.09,123.9,banana
95.1,47.2,15.3,27.0,73.4,6.64,63.9,cotton
133.9,22.7,33.6,22.8,39.0,6.76,163.6,coffee
81.2,51.2,42.6,23.7,89.8,6.37,183.7,rice
97.0,52.9,49.1,28.0,78.0,6.51,173.1,jute
16.3,4.5,2.9,20.5,96.9,6.98,81.9,orange
105.5,52.6,26.6,28.1,77.3,6.27,84.6,cotton
17.3,128.3,202.1,22.2,86.1,5.97,61.0,grapes
76.3,50.3,21.7,25.5,69.1,6.11,97.8,maize
107.9,38.8,29.5,27.0,61.5,7.04,186.0,coffee
99.3,59.0,13.2,25.9,60.5,6.82,90.6,maize
36.4,64.5,97.6,20.5,18.1,7.43,71.0,chickpea
95.1,20.4,68.1,26.2,89.7,6.21,41.7,watermelon
85.9,47.6,25.2,28.1,61.6,6.81,63.9,maize
70.7,59.3,47.9,23.2,79.5,5.87,201.7,jute
100.2,30.0,29.9,24.7,44.0,5.92,207.5,coffee
28.4,63.9,25.6,22.5,66.2,6.3,61.0,lentil
31.0,65.7,83.6,18.8,22.8,6.64,102.1,chickpea
97.4,46.8,47.7,24.4,69.9,6.36,251.2,rice
50.0,61.9,71.5,19.8,14.0,6.73,59.4,chickpea
15.8,108.7,205.0,21.3,74.5,5.16,20.0,grapes
138.1,53.6,18.9,24.3,69.2,7.56,93.6,cotton
79.5,48.3,40.3,25.7,82.6,6.88,165.2,jute
77.3,37.4,41.8,26.4,82.0,6.0,242.3,rice
92.6,20.3,38.6,27.3,87.6,6.34,36.6,watermelon
83.2,43.6,43.5,29.0,93.5,6.5,151.5,jute
7.7,14.1,12.6,23.4,100.0,6.72,141.7,orange
19.0,59.2,32.4,22.2,44.4,6.31,49.9,lentil
100.4,45.1,23.4,19.3,67.2,6.6,105.6,maize
81.1,77.4,42.3,24.8,82.2,5.38,123.3,banana
